Scope3-lv1
Uncategorised
Purchased goods
Capital goods 
Fuel- and energy- related activities (not included in scope 1 or scope 2) 
Upstream transportation and distribution 
Waste generated in operations 
Business travel 
Employee commuting
Upstream leased assets 
Downstream transportation and distribution 
Processing of sold products 
Use of sold products 
End-of-life treatment of sold products 
Downstream leased assets 
Franchises
Investments 
